"station","lon","lat","SST_mn","SST_sd"
1,-9.833,44.415,14.7548901171875,2.60455530838013
2,-10.79,39.038,17.2574915916443,2.38381280088425
3,-10.421,36.672,18.6478204204712,2.01980263322449
4,-6.553,36.563,18.3040923927002,2.84091966395569
5,-4.405,36.03,17.8985314743042,2.46322333450317
6,-4.251,36.529,17.0880467684326,2.55017888719178
7,1.948,37.031,19.0366103543701,3.8511255585556
8,3.966,38.011,19.3569748389282,3.98110395849609
9,5.819,39.112,19.3352848033447,4.3149140072937
10,2.865,40.668,18.4646531497192,4.43089140411377
11,2.798,41.666,17.6594427269897,4.15857877961731
12,7.899,43.348,17.4481781815185,3.66088409282684
13,8.068,37.987,19.1072857177124,3.65556504879761
14,12.858,39.902,19.1787302073364,4.52524955571747
15,14.53,38.933,19.1848449563599,4.41111805244446
16,15.454,37.398,19.1605955233459,4.17860919998932
17,14.306,36.258,19.3948009678955,3.90288230208206
18,14.287,35.756,19.8861888396606,4.2015157399292
19,13.865,34.215,19.4991920837403,3.60106621437074
20,14.973,34.451,20.9666722393799,4.2167763237915
21,17.285,37.511,19.7365140777588,4.33759376159668
22,17.4,39.729,19.3557276657105,4.16762578048706
23,17.729,42.176,18.4236129047241,4.10310790012359
24,17.956,42.457,18.489648203125,3.9354790851593
25,19.421,39.333,19.0039352634277,3.95301981687927
26,20.188,38.431,19.5829801419678,3.79607805660248
27,32.934,34.094,21.6573632307434,3.73149627116012
28,32.985,34.279,21.4034107641601,3.64251126525879
29,35.342,33.928,22.6793917087097,4.43002529637146
30,32.789,33.929,21.5604520355225,3.52365897065735
31,34.819,27.151,25.3863514051514,2.15422917303466
32,37.254,23.391,26.8705390145874,2.13507842270661
33,38.218,22.057,28.178104553894,2.15197191107177
34,39.884,18.445,29.3697138131714,1.81669489339829
36,63.525,20.824,26.8132808319092,1.61382888488768
37,63.6,20.828,26.9261547706604,1.74422797670365
38,64.576,19.017,27.2888564350586,1.49620103572847
39,66.463,18.647,27.7074972076416,1.3706949583664
40,67.984,17.5,27.8862435302734,1.20885534596443
41,70.011,14.582,28.6548934819336,0.731765780397426
42,73.919,5.992,29.1403586130981,0.633967631792068
43,73.489,4.66,29.1643861001587,0.596265364874201
44,71.52,2.806,29.595342288208,0.484239581832861
45,71.71,0.941,29.4057410870361,0.626400499343879
46,73.162,-0.659,28.8299344389648,0.740138431381228
47,72.164,-2.042,28.905045178894,0.546584558952809
48,66.32,-9.409,28.1652489407348,1.19722112131119
49,59.504,-16.808,25.2727179699707,0.228628332195281
50,56.795,-21.476,26.0992459173584,1.62797579940796
51,54.283,-21.476,25.7267717493896,1.95106936404038
52,53.508,-17.023,26.8141275172119,1.30462799279787
53,46.923,-13.07,28.0042081732178,1.17541618730547
54,45.226,-12.813,27.8492670759481,1.33391893230947
55,43.985,-14.219,27.1861817102051,0.930117855949403
56,43.29,-15.332,27.5680986050415,1.0150619590044
57,42.742,-17.026,27.205135282074,1.2733845279541
58,42.32,-17.455,27.5190943374634,1.22714463691712
59,40.803,-19.063,25.8770260585938,0.32414729885102
60,40.09,-20.233,26.3708316680908,1.3845780398941
61,39.547,-21.366,25.638292578064,0.251735899841312
62,40.182,-22.339,26.4359339321289,1.00481660465621
63,38.688,-24.482,25.8461616976623,1.58311540633584
64,37.929,-29.508,23.4806655449219,1.86410754444503
65,26.334,-35.226,21.5567016465759,1.95701035244368
66,18.016,-34.905,18.0227602557373,2.15758994773865
67,17.206,-32.292,15.5004554909973,1.30874168964577
68,4.62,-31.039,18.4543115032959,1.23693647221089
69,2.609,-24.125,20.2148273468018,1.48173196601868
70,-3.413,-20.229,21.7925341257324,1.59714359342957
71,-9.728,-9.213,25.728833940979,1.61878365145111
72,-18.006,-8.691,25.7631178391724,0.527724620660781
73,-24.434,-12.504,25.8325983744202,0.870910394099233
74,-28.957,-16.036,25.0954540137939,1.15097461122131
75,-32.718,-18,26.3295007286072,1.48701656031609
76,-35.231,-21.029,25.6333410821533,1.22646955748749
77,-43.84,-24.577,24.3656894863892,1.603342302742
78,-43.323,-30.158,20.8697728216553,0.730525373678213
79,-47.66,-34.458,20.3695076635742,1.91933309052468
79,-55.163,-35.502,16.0857777317199,3.56532365905
80,-51.952,-40.699,16.9739913878174,3.24931861075591
81,-52.214,-44.497,13.2953669984741,1.93514338169479
82,-58.012,-47.165,8.02662185821532,2.46315313735962
83,-65.023,-54.418,7.76117324301148,1.26394761999702
84,-60.471,-60.395,0.912350516605411,1.39708296787264
85,-49.503,-62.176,0.249804541477199,0.464198844034199
86,-53.057,-64.309,-1.53275738200187,0.0868484596843715
87,-56.137,-63.853,-0.344002548328397,0.515744793096545
88,-56.806,-63.386,-0.999005770118709,0.513129088185632
89,-67.419,-57.764,4.38335406561278,1.52292274794198
90,-76.99,-39.587,14.383582771403,2.25623961376188
91,-73.085,-34.174,14.7561985516357,2.16589150466918
92,-71.977,-33.697,13.5393934946289,1.79539294491577
93,-72.615,-33.762,14.8935772129822,1.65168511972427
94,-87.093,-32.765,19.1862747302246,1.8703130844116
95,-93.986,-31.386,21.6863771051636,1.37235598151106
96,-101.268,-29.655,22.5186639273071,1.42747158905029
97,-107.668,-28.169,23.9978834108276,0.368551285376554
98,-110.992,-26.261,24.6271680466919,0.555353550689691
99,-104.852,-21.141,22.3545499093018,1.18751189037323
100,-96.283,-13.162,21.5850066140137,0.401450588550574
101,-89.485,-8.627,22.5937036291503,2.03204636535637
102,-85.27,-5.218,22.1939947277832,2.58460275251387
103,-84.584,-1.498,22.4748465736694,2.15656466273688
