"station","lon","lat","SST_mn","SST_sd"
158,0.374,67.193,7.85960493936157,1.9672597074585
159,2.157,68.994,7.47490906594848,1.92561622684097
160,3.678,70.373,6.58266950930786,0.870304673160542
161,3.935,72.375,5.30048294067383,1.83911990642548
162,3.908,74.247,2.23798253839493,1.99633671505737
163,1.689,76.078,2.1024325735855,2.05879476134489
164,6.554,74.597,3.59596484323883,2.47305936596297
165,10.233,73.444,5.81227028115844,1.44938220203399
166,14.662,71.208,7.32338602135467,1.43892151522446
167,38.714,71.033,3.87892198378753,2.480179003685
168,44.126,72.582,4.87403926519769,2.0971016623154
169,47.159,74.39,2.97264058414458,1.81260520143033
170,51.913,75.949,1.081231566206,1.91424582173539
171,58.558,77.588,1.88522866879276,0.609816899336829
172,67.897,77.967,-0.253815660789487,0
173,75.345,78.939,0.502915607757493,0
174,71.624,79.045,-0.745826539173132,0.542566263618459
175,66.384,79.343,1.75086172389984,0.178233913958073
176,67.391,77.755,-0.652383101081821,0.740622351074246
177,71.747,77.901,0.0955905098115494,0.360793423459384
178,73.235,77.234,2.17621416493426,0.61095711133954
179,74.572,75.541,1.07213382585519,0.945168592079188
180,75.459,75.172,0.722317948282275,0.997551712131511
181,77.069,73.966,1.74269304642867,1.3956920804723
182,78.563,75.976,1.58580628564507,1.98144213392259
183,75.734,77.454,0.645636685653666,0
184,69.692,79.028,-1.15495541311739,0
185,60.902,79.675,-0.102025103950486,1.16057145171169
186,74.215,79.07,1.71521711349487,1.35478281974793
187,86.523,78.142,-0.498764684059226,1.21545478071872
188,91.725,78.304,-1.63001206336021,0.0326696628108617
189,116.482,78.022,0.189999997615814,0.180000007152557
190,145.846,73.858,2.35500001907349,0.891490638256073
191,160.961,71.549,0.505867740650222,0.585278175598099
192,166.31,70.733,-0.0400554535627724,0.296037797079085
193,174.901,71.115,0.31323168712299,1.27736327312464
194,-168.518,73.336,-0.809599397173637,0.407713040121087
195,-159.703,72.213,0.806470302135428,2.02161896646878
196,-154.934,71.895,1.75100512367238,2.43754895082479
197,-148.662,71.336,1.92818645970148,0.553378459899903
198,-141.884,71.474,1.34781743350603,0.0714140506610591
199,-140.334,70.396,0.8136395234662,2.24030106289868
200,-93.543,71.986,-0.0477969909410573,0.902391484248167
201,-85.729,74.329,1.2564185028534,1.68446224155425
202,-85.053,73.117,-0.759999990463257,0.297434401512146
203,-80.364,73.07,-0.372430906066876,0.751880277977002
204,-78.443,72.676,0.27603649500419,1.62557274879075
205,-71.952,72.423,0.863434482950721,1.39758092294888
206,-53.622,70.939,3.77841955184936,1.49163087582591
207,-52.852,69.207,4.42123092297365,1.98451689653396
208,-51.578,69.107,5.20849544030382,1.92229212289429
209,-53.467,64.728,2.18174963804627,1.86521772017287
210,-55.985,61.544,4.10700767810822,2.26429353359223
