"data","station","N_10","S_10","N_max","N_KS","S_KS","alpha_par","logk_par","AIC_par","BIC_par","alpha_exp","logk_exp","logb_exp","AIC_exp","BIC_exp"
"metaG",7,48791,1121,1849,38150,422,2.25740081512374,1.89898884386774,4225.17881185541,4233.26882248348,2.25743295386111,1.8989991028661,-10.8374876585088,4227.1788118753,4239.31382781741
"metaG",11,25932,325,2379,23794,177,1.24378654260921,1.65160705249774,1911.6508959557,1918.00319542085,0.860394967489277,1.49152259174078,-3.31858049019731,1912.13815278164,1921.66660197936
"metaG",18,35001,1039,1819,33961,935,1.79553574668207,1.32475570386321,7525.77306841982,7535.4541614784,1.74233110927786,1.31147205613559,-3.72610208816534,7527.68379086666,7542.20543045453
"metaG",22,58445,1422,1337,51904,881,1.57485651804733,1.45142584374022,7973.52243305451,7983.08454830639,1.30408581493184,1.37042260291411,-3.14258005592968,7973.72747299216,7988.07064586997
"metaG",23,40891,1282,836,33097,656,1.76943110656434,1.45553597445472,5706.194658946,5715.16698052389,1.29685285110037,1.33134366423739,-2.76976146901572,5706.24613382542,5719.70461619225
"metaG",25,86132,1524,3112,84712,1382,1.1744456319665,1.16720673731408,12106.4413976517,12116.9039716604,1.09919533808766,1.13469662930187,-3.81893716424544,12106.8200223283,12122.5138833412
"metaG",26,56372,1357,1882,55022,1222,1.34574909810718,1.18157191243527,10188.6340091786,10198.8504974581,1.20388208008386,1.1302113101088,-3.34399211157538,10188.7004510492,10204.0251834684
"metaG",30,44958,1210,1388,42874,1011,1.74755613853537,1.36757234783069,8422.04811996004,8431.88551039808,1.74224575928274,1.36617638923527,-4.84842183749799,8424.04503531588,8438.80112097294
"metaG",36,226245,2004,13127,224055,1785,0.842563566787958,0.968696285296187,16387.259533407,16398.2338807955,0.793458325821074,0.935785695623122,-4.37570267706414,16385.255742156,16401.7172632386
"metaG",38,37271,679,6655,37271,679,1.57241006852952,1.27447367134789,5596.62773800811,5605.66898026323,1.5724222847305,1.27447746314171,-12.0518815671053,5598.6277380321,5612.18960141478
"metaG",39,56502,1560,1830,53286,1251,1.44597753508543,1.21073986872789,10289.7672716335,10300.0306686545,1.29589303844383,1.16033762075108,-3.29398144640661,10290.272165415,10305.6672609464
"metaG",41,44548,864,2062,44548,864,0.994667943569327,0.927086549242618,7168.57668183502,7178.09982737263,0.798296294380425,0.82074755757607,-3.20908797829411,7164.16874223784,7178.45346054425
"metaG",46,27632,1127,561,23333,728,1.48891498863905,1.05423158243761,5393.95440654028,5403.13500863667,1.20931017765325,0.964455367817666,-2.76437294759452,5393.95540871966,5407.72631186425
"metaG",51,18407,624,1045,17607,544,1.67577069963035,1.17017494861805,4111.76081871002,4120.35871720373,1.67551201955729,1.17009624694675,-6.12710613786338,4113.76080532396,4126.65765306452
"metaG",52,46044,1343,1875,40153,838,1.36745083183694,1.13348054516388,6756.24048271224,6765.70251891321,1.35420190430359,1.12870844423988,-4.4810223203562,6758.19300032516,6772.38605462661
"metaG",64,101832,3506,3124,101832,3506,1.53435371220166,1.02056935723245,25069.3406586126,25081.6651207436,1.53420524574287,1.02052615235921,-6.23868854448872,25071.3405362258,25089.8272294222
"metaG",65,144237,3827,1521,126991,2332,1.45129786374936,1.34704659233635,20611.8076741153,20623.3166372103,1.06678566440984,1.21374547803451,-2.91727406915924,20603.337807401,20620.6012520434
"metaG",66,267236,3651,6194,267236,3651,0.873957961632682,0.927346605135373,32241.3500705461,32253.7555833095,0.680037100444353,0.800935561927017,-3.3797717595255,32204.1495716752,32222.7578408202
"metaG",67,129670,3486,2221,96344,973,1.34688518305691,1.54487414947547,9737.76185244628,9747.52262061065,1.09155778918417,1.44989058492042,-3.39700586776462,9736.45304821528,9751.09420046184
"metaG",68,39144,977,1497,33757,545,1.53590276923927,1.44792795186322,4970.1447412215,4978.74631281082,1.26333523395181,1.36309219103424,-3.15827706834292,4970.92491934557,4983.82727672956
"metaG",70,43166,1355,962,36653,812,1.5292671067345,1.26078936338811,6715.24947850697,6724.64847918729,1.24112313269467,1.1716292813994,-2.93349568660219,6715.14559307213,6729.24409409262
"metaG",72,24623,787,1340,20451,442,1.99019638556662,1.48711613896412,3750.95268286747,3759.13530263163,1.9707233637637,1.48288016259112,-4.26021494465972,3752.94798676526,3765.22191641149
"metaG",76,45163,928,2101,45163,928,1.22044129407206,1.16727046327453,8000.15482431278,8009.82088777835,0.864138477246882,1.01401694070508,-2.90045177355667,7994.68724467915,8009.1863398775
"metaG",78,19844,591,477,19134,520,1.75135800424182,1.34712485428479,4281.27627520357,4289.78393282672,0.898702207802692,1.09489475624119,-2.34364981646034,4279.1294726745,4291.89095910922
"metaG",80,441973,16343,12850,265838,4066,1.25948179905902,1.16896520748802,34608.0692504146,34620.690080403,1.18441122832464,1.13891171266325,-3.75303798317595,34606.6302326674,34625.5614776499
"metaG",81,118875,4589,1817,78288,1240,0.874185484064671,0.800483240845095,10228.239699687,10238.4854330042,0.666272370548283,0.669983075450805,-3.17264574620553,10214.614426683,10229.9830266587
"metaG",82,425001,5341,5308,420691,4910,0.954204549646861,1.15739687251362,46748.4555895982,46761.4536480398,0.657385317415222,0.980393004281541,-3.23219527841164,46681.1661299076,46700.66321757
"metaG",84,2130353,47402,21282,1589857,11921,1.00156690526954,1.27419376001822,117568.127504447,117582.899618107,0.916140891167893,1.22872164987281,-4.05993926384837,117540.44905688,117562.60722737
"metaG",85,2069738,36493,37331,1686994,10676,1.1823412450971,1.4599668446296,107619.564748934,107634.116255955,1.18142206922352,1.45953603348519,-6.39567325525591,107621.530275759,107643.357536291
"metaG",92,315020,11244,4895,194222,2622,1.09254826190533,1.10906136391246,22977.3068011745,22989.0501865031,0.945166452680784,1.03984723997794,-3.45174289565409,22969.3376408242,22986.9527188172
"metaG",98,25792,490,1228,18841,131,3.19408091633292,2.33283477491593,1451.11528039187,1456.86567503827,2.38276325077448,2.2347094485179,-3.1009925443256,1453.04756711458,1461.67315908419
"metaG",100,519765,7533,13790,387350,1069,1.11403638649833,1.91489180196867,13257.1615940135,13267.1105518355,0.866283439078395,1.7963980529614,-3.95192234173395,13252.102284423,13267.0257211561
"metaG",102,640313,4714,26991,545138,1191,1.26123487066546,2.0959822501376,15217.7512832149,15227.9163803536,1.22825152278161,2.08274763393152,-5.10727499489858,15219.4144702231,15234.6621159312
"metaG",109,109153,3246,2452,109153,3246,1.22217504733479,0.865785448137778,23456.7767270626,23468.9470845587,1.18720089800028,0.851059252848499,-3.89495083929479,23457.654877168,23475.9104134122
"metaG",110,273924,3946,17481,256924,2569,1.36897286772268,1.51807008905086,25241.7940236161,25253.4965676104,1.36432987613847,1.51632058130696,-5.40035244284623,25243.7641144549,25261.3179304463
"metaG",111,159886,2820,1972,127650,990,1.70115470542797,1.86536779361915,10600.421237142,10610.2166470282,1.28279218868038,1.75081529185748,-3.26656731992501,10599.5281411394,10614.2212559688
"metaG",122,1377896,11189,92382,1241370,2839,1.03332801553686,1.70383177814313,33266.8724383017,33278.7748526147,1.0302939218644,1.70216590410394,-6.34432486629788,33268.7834991888,33286.6371206582
"metaG",123,672080,13332,27287,672080,13332,1.18181135086183,0.863672439715225,97838.4137340404,97853.4095789193,1.18181224131655,0.863672859042561,-11.7194462436419,97840.413734096,97862.9075014143
"metaG",124,569283,4588,38152,545369,2748,1.17899019427011,1.54638474502039,28826.4717641608,28838.3090214675,1.17896873518148,1.54637274357657,-8.25798905498722,28828.4716877213,28846.2275736813
"metaG",125,802939,6502,33579,772090,4079,1.07297439803593,1.47859188482716,42965.6886650113,42978.3158792899,1.05981195359326,1.47182988115553,-5.25154786367148,42967.0128588194,42985.9536802374
"metaG",128,97705,1942,3565,91186,1360,1.22827135188245,1.23869946738424,12137.9780164069,12148.4084963644,1.1657797579511,1.21287351974964,-3.94853139855765,12138.970933385,12154.6166533212
"metaG",131,80186,736,18897,71831,240,1.23994668225685,1.89039016290476,2857.22161188693,2864.18288973362,1.23016272073925,1.88618018414049,-5.57512152807085,2859.20836245724,2869.65027922726
"metaG",132,50275,1267,3422,49165,1156,1.59816753622675,1.2945898698242,9571.24200176236,9581.34744386083,1.5866535781826,1.29115242301197,-4.53226431539329,9573.22155571783,9588.37971886552
"metaG",135,32849,994,1268,27902,578,1.59001499992863,1.31629337144277,4854.98063006319,4863.69977780054,1.51826186764431,1.295200686866,-3.68325586010618,4856.82053329415,4869.89925490016
"metaG",136,77672,1528,2867,76192,1380,1.25114327301099,1.17297881189693,11807.0392049357,11817.498882492,1.20707066989531,1.15527393735947,-4.03830336731139,11808.4332572179,11824.1227735524
"metaG",137,67707,1604,2124,64947,1337,1.38252101565307,1.24367138473031,11404.2896188005,11414.6859859547,1.22277178632467,1.18736450104238,-3.3238378527405,11404.1073435568,11419.7018942881
"metaG",138,27915,917,1191,26248,758,1.71591385368549,1.21369475737685,5822.40703227516,5831.66839904644,1.71590768034455,1.21369373205986,-10.234420661184,5824.40703229955,5838.29908245647
"metaG",142,21203,749,553,16621,388,2.38811309288825,1.5692321195797,3233.48569469881,3241.40770537806,2.10953831861693,1.52168007931645,-2.9893039664811,3235.36760830797,3247.25062432684
"metaG",143,22636,749,1806,20479,551,2.116214678496,1.4163144054113,4394.80929477665,4403.43276439495,2.11620078061043,1.41630976819291,-10.6679293973504,4396.80929479826,4409.74449922571
"metaG",144,49483,1498,785,49483,1498,1.61084291547311,1.21533908500315,11817.0155438819,11827.63931621,1.16691485549461,1.08179473560985,-2.62799149510005,11813.2917717441,11829.2274302364
"metaG",145,218129,2700,29010,142901,160,1.0323287727044,2.16691410222856,2220.44031144655,2226.59065907701,0.92517099292907,2.11137134213554,-4.7885974092145,2221.97634006611,2231.20186151181
"metaG",146,57817,1495,1102,57817,1495,1.45033098756247,1.21007324873715,12276.1603433087,12286.7801062803,1.09213812157533,1.08901753484574,-2.80465592263859,12271.6767903508,12287.6064348083
"metaG",147,32451,1041,728,32451,1041,1.58249162838136,1.17201707525094,8065.79049642426,8075.68637056149,0.945284402485946,0.963855760605514,-2.39867556742695,8060.51783628782,8075.36164749366
"metaG",148,47179,1357,629,45799,1219,1.80101470644126,1.3695998295965,10050.5212510567,10060.7328233156,1.37848416279688,1.26200187147308,-2.73470973167882,10049.7246288999,10065.0419872884
"metaG",149,78460,2775,1018,67916,1800,1.39500427063863,1.11617474865301,14240.5804361109,14251.5715199987,0.969163416055417,0.962203117450245,-2.63955454836529,14230.8522315053,14247.3388573369
"metaG",150,41421,1306,1017,31809,599,2.01443121368738,1.52568894449623,5166.51690819596,5175.30743139219,1.95989756995903,1.51427715995203,-3.8069904246856,5168.48275275041,5181.66853754476
"metaG",151,21194,774,990,16653,406,1.62968465305022,1.2208879124605,3200.75613090908,3208.76883722829,1.51313478850409,1.18816091717091,-3.31564323704435,3202.54478423657,3214.56384371537
"metaG",152,100535,2580,1649,73173,731,2.15921792059341,1.92924056181227,7512.32435306504,7521.51317998454,1.912187449342,1.88128353140709,-3.45936399931467,7514.01283674138,7527.79607712063
