"data","station","S","N","Nmean","Nvar","zeta","alpha","logk","BIC_betaprime","BIC_LN"
"metaG",80,16343,451.305000389366,0.0276145750712455,0.00604718155410508,6.66666666666667,1.41222551839362,-2.332032895934,-99184.8320287729,-96327.7740116752
"metaG",81,4589,78.9651885265422,0.0172074936863243,0.00268621634041131,6.66666666666667,0.582793472793542,-2.92236435942455,-33476.4342349349,-32334.8317397998
"metaG",82,5341,405.277053735181,0.0758803695441267,0.036744505160771,2.5748011178803,0.57554924832675,-1.73394905174662,-19219.5469491527,-19136.5445246445
"metaG",84,47402,1940.42204804977,0.0409354467754476,0.0278620778402496,6.66666666666667,0.530967953152435,-2.61438530916089,-271817.815346953,-261058.183622492
"metaG",85,36493,1804.69788644021,0.0494532618979039,0.0675562719776034,6.66666666666667,0.353840885287669,-2.60304842275652,-189362.967775333,-183698.532097339
"metaG",92,11244,259.866958281566,0.023111611373316,0.00396907426179657,6.66666666666667,1.1582804997897,-2.49299874215005,-72343.029973285,-70213.1704315536
"metaG",98,490,29.9047027849304,0.0610300056835314,0.00494192786281522,2.00776467362198,0.841100228698665,-1.53389586889165,-1810.05412305298,-1818.75956322136
"metaG",100,7533,587.747769019596,0.0780230677047121,0.0384961018749172,6.66666666666667,0.0776221126608723,-2.58360567785854,-31341.9820160176,-29956.4982229301
"metaG",102,4714,712.186614933685,0.151079044321953,0.0817457517983981,1.62644152748958,0.0978713333317114,-1.53072390125287,-10673.6871630384,-10790.6728788357
"metaG",109,3246,91.4758689601662,0.0281811056562434,0.00240489878043316,6.66666666666667,1.1014265691224,-2.33515856905896,-18059.056180763,-17855.8274558197
"metaG",110,3946,289.161152865651,0.0732795623075649,0.0154993026793662,2.37833760178609,0.649037424080143,-1.63792260485412,-13709.622642569,-13740.8516250228
"metaG",111,2820,218.02979104231,0.0773155287384078,0.0152562304886616,2.82098135570472,0.379423964285325,-1.83641382778066,-9598.01796884366,-9597.54281064321
"metaG",122,11189,1068.21424354722,0.0954700369601587,0.098240424254395,6.66666666666667,0.0247400513772056,-2.56336030477707,-42998.0794975143,-41207.0536822335
