"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data"
189,961393,23369,10,0.58484158644282,0.477500832664469,0.61799434765631,1.49804258392877,1.38173920890052,1.64309765261873,1.64356780853367,1.60769887997897,1.70504569000512,5.95905209140245,5.94992495719001,5.96895968687844,1.01193831727251,0.00025,22795.9388674191,0.716,"metaG"
7,48791,1121,10,0.0993697763083813,0.0915675487987136,0.112136629013694,0.359008305216852,0.200771184544913,0.622122090016767,1.05955140174313,0.758473642993784,1.32052836791438,4.76150370683125,4.65578770892496,4.99992331604312,1.0241989074267,0.038,1092.65830885809,0.05275,"metaG"
11,25932,325,10,0.106154477222284,0.0949733216981546,0.127716164058113,0.0452507643622075,-0.138722520603162,0.437057839979601,1.1721098219602,0.563427695379349,1.62297721539353,4.59058752440708,4.30847156668345,5.28214623562677,1.03038754742441,0.3145,319.297287037816,0.2125,"metaG"
18,35001,1039,10,0.173739385210888,0.15221154462605,0.208657945644966,0.800692954867381,0.522367096764964,1.27187698754965,1.21243477766951,0.935261156753318,1.45971323260187,4.55083649023676,4.49484828436318,4.64166320047606,1.01169078202928,0.72175,1004.18401518571,0.256,"metaG"
22,58445,1422,10,0.143458970055991,0.133095315195255,0.160526616004486,0.405182626662095,0.256732002501457,0.652130658738454,1.02354534468668,0.759670028788468,1.26976481695923,4.8282181246995,4.73734354574663,5.02063417858841,1.01746751654575,0.1125,1380.74077039852,0.1125,"metaG"
23,40891,1282,10,0.145300718802838,0.132648276763711,0.163158550608208,0.488889908161262,0.324462226897155,0.75168941234899,0.715365846046231,0.18325506385622,1.05235622819383,4.66017959616058,4.58654004703328,4.80223386272634,1.01730426679069,0.15,1231.31106459396,0.27375,"metaG"
25,86132,1524,10,0.100342999876709,0.0950011829876338,0.108389242840823,0.150231171826775,0.056336796927083,0.297612460515535,0.726918613512088,0.293742963592139,1.03889672385998,5.04507756222161,4.88117843973402,5.46875088154327,1.00988566914073,0.7045,1478.11558635918,0.41775,"metaG"
26,56372,1357,10,0.129004387739152,0.119899910799263,0.1420700598075,0.323674638890372,0.188558349545841,0.527306669453102,0.787599071467317,0.353565660882231,1.0912507284898,4.81369738084128,4.71012329082729,5.05923901222919,1.00836042189715,0.88925,1310.66466625662,0.39475,"metaG"
30,44958,1210,10,0.168549928423242,0.14892592623155,0.197221485553266,0.753101287382242,0.499241456927029,1.14320965628096,1.26878399723309,1.03532060485702,1.48165385384916,4.65249795815289,4.59768394456847,4.74387178706423,1.02119719361861,0.0495,1170.97054669754,0.41225,"metaG"
36,226245,2004,10,0.348754758621729,0.332489302299983,0.352316951245682,-0.0646170424006351,-0.0920632543317616,-0.026891297871549,-1.60318682440901,-1.7551954895173,-1.03308089503239,5.48739319732774,5.19903294583409,6.2608296975844,1.02817076339832,0.01825,1991.51281785917,0.01675,"metaG"
38,37271,679,10,5.05050497408699,0.147271700524451,5.05050505050505,0.54171215732245,0.330096215938094,1.03706395944292,0.416872553976536,0.306324995701599,1.46672820144603,4.45024585428998,4.36280185774211,4.61875781966448,1.01684303312468,0.67775,657.060365123073,0.95375,"metaG"
39,56502,1560,10,0.124404591190911,0.116351033653839,0.136907370893617,0.37301755012007,0.252684148067109,0.567724595972659,0.608892391725407,0.0442072269225201,0.94982641416386,4.80554824106735,4.71780297587488,4.99978279760663,1.01761772860798,0.0945,1501.25571182049,0.2545,"metaG"
41,44548,864,10,0.312743217279249,0.284142710645101,0.334627814400259,0.0827104864790971,0.020926895475901,0.162588929969017,-1.64381662892511,-2.57957601548599,-0.968964393577581,4.77768215135884,4.58149169595138,5.29367024226261,1.02462204580596,0.19675,844.18885947429,0.16225,"metaG"
46,27632,1127,10,0.136082280707358,0.136082280707358,0.136082280707358,0.686460297366642,0.686460297366642,0.686460297366642,-4.74029703325973,-4.74029703325973,-4.74029703325973,Inf,4.38167226312034,4.51993195610665,1.01833155163266,0.33125,1054.81378823469,0.53225,"metaG"
51,18407,624,10,0.173066801901709,0.15246459535083,0.211066877492689,0.616854133863552,0.394614674073427,1.10736630509277,0.611243009106645,-0.423387338903439,1.11538142488597,4.264818082712,4.18987965608678,4.39304187275143,1.01477026360103,0.7075,595.183346811554,0.44225,"metaG"
52,46044,1343,10,2.81218962041925,0.497197312835679,5.04699632653443,0.566134160036007,0.389653131375742,0.81481567714639,0.251669080582992,-0.0797419416563396,0.843822285372322,4.63897093681812,4.5765426095111,4.764267130272,1.0165523979697,0.19375,1282.82266003894,0.82725,"metaG"
64,101832,3506,10,0.826825438241226,0.789591775681643,0.940798333177493,0.533744905927706,0.483245663172626,0.632810483835964,-0.295295051287412,-0.673237432082815,0.207879264595404,5.00497525053857,4.95927923463046,5.09528566794709,1.00866692300443,0.37175,3316.48809207017,0.566,"metaG"
65,144237,3827,10,0.165343486867772,0.158121134131788,0.170206933098006,0.195725883908811,0.169304991292214,0.235615862368626,-0.664899501603674,-1.65105704014412,-0.263448306953693,5.30989186216405,5.19460153804759,5.63285859798741,1.0216058419955,0.007,3676.30742126629,0.42925,"metaG"
66,267236,3651,10,0.137089273775111,0.137088279454066,0.137089315334973,-0.0536386865141251,-0.0536401736508177,-0.0536309930393721,-2.5428117484654,-2.54296984183508,-2.5427382947067,5.76055430675521,5.48652816641334,6.55883692259145,1.0218541104778,0.02225,3581.06737615509,0.10675,"metaG"
67,129670,3486,10,0.41015747062511,0.396675403523939,0.410659774428613,0.414149252208099,0.381630526603337,0.440537927156902,-1.83467104920467,-1.88095053144179,-1.69403673520449,5.06078953768818,4.99964775293257,5.19254354904878,1.07954872235704,0.00025,3539.28706559828,0.00025,"metaG"
68,39144,977,10,0.132121844359005,0.120487158830761,0.14925090984012,0.329885760803553,0.167109180772757,0.589394285167914,0.795250034242231,0.195340565279515,1.1580732405397,4.66325019079586,4.55119190630884,4.92202453635503,1.01594673122151,0.3745,944.96674066783,0.2325,"metaG"
70,43166,1355,10,3.35765040480338,0.316357297565137,5.05050505050505,0.623974129267006,0.439673408835595,0.899916659341604,0.390828772545,0.199208232661875,1.06941892187495,4.6549102517355,4.59620055219881,4.75770799064925,1.01449875982779,0.3415,1301.20326522356,0.699,"metaG"
72,24623,787,10,0.161012401258416,0.141779809341785,0.194817858646568,0.665979942995415,0.406758105332442,1.13465662953675,0.970241108219014,0.547482808348155,1.30955831118111,4.41375120504556,4.34350706211443,4.54782170754285,1.01885364067399,0.27125,757.958581279178,0.17075,"metaG"
76,45163,928,10,0.11696106954246,0.108248904513738,0.131754110469885,0.255884995514983,0.11270062192599,0.510530175597883,1.01650678750588,0.679249325955222,1.31458288159383,4.76343842879853,4.6198227187616,5.14212060422141,1.01483795652852,0.513,903.284624517357,0.2165,"metaG"
78,19844,591,10,0.0949817399471667,0.08258314112931,0.120489229617895,0.639748341558549,0.351669901351166,1.23584020678664,1.15267026021902,0.749328445744464,1.51301516389234,4.34192848186956,4.26047685832742,4.48937330173248,1.03187088606834,0.036,574.70086466638,0.05075,"metaG"
