station,N_10,S_10,nmin,alpha,alpha_low,alpha_high,beta,beta_low,beta_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,CvM,p_CvM
7,451.2615149457575,1121,0.004617161207622514,2.592274053692456,0.0,0.0,1.4430321308092209,0.0,0.0,-0.6517229682359452,0.9334207478125708,0.9334207478125708,-inf,,,0.227773698996977,0.002,23.614725089962672,0.002
11,189.4700229020509,325,0.019520439411792,2.6889787395779634,0.0,0.0,0.7606474196476598,0.0,0.0,-0.7403430281530801,0.8916801221739232,0.8916801221739232,-inf,,,0.3541987074203652,0.002,18.677633204266204,0.002
18,353.7007816081635,1039,0.013312931033024807,6.017512053732637,0.0,0.0,1.2140059162630243,0.0,0.0,-1.1675602310888258,0.9397910573138414,0.9397910573138414,-inf,,,0.5250840674134408,0.002,126.30367740012132,0.002
22,921.0786544024508,1422,0.012651078188919314,2.479239893939368,0.0,0.0,1.223707761901491,0.0,0.0,-0.4891422658322737,1.1348268673558088,1.1348268673558088,-inf,,,0.2191372957743335,0.002,34.40417465180957,0.002
23,453.78131510075957,1282,0.01219019589824912,3.904709144165889,0.0,0.0,1.1758152487431826,0.0,0.0,-0.9809055481080128,0.9848533544654882,0.9848533544654882,-inf,,,0.41264415898687,0.002,99.92157647413698,0.002
25,1322.8728803278016,1524,0.00966952758301333,5.381216438717414,0.0,0.0,0.3696968350370653,0.0,0.0,-1.1585834448789645,1.0649844235658437,1.0649844235658437,-inf,,,0.6585111339971129,0.002,292.41228381597114,0.002
26,726.196794850984,1357,0.017735588592580204,5.993186091836996,0.0,0.0,0.7353248939668353,0.0,0.0,-1.1770450017325662,1.0096791585501732,1.0096791585501732,-inf,,,0.5598274300196779,0.002,190.0257815504782,0.002
30,500.13611659877716,1210,0.011183504023347727,5.850218198098329,0.0,0.0,1.3105884078640029,0.0,0.0,-1.0598877088537415,0.9382063661900062,0.9382063661900062,-inf,,,0.5462409928791037,0.002,159.19690185016387,0.002
36,4577.219061428631,2004,0.007778485453071278,2.7201183809987217,0.0,0.0,-0.0022045413274848,0.0,0.0,-0.88180709954497,1.2448240913017943,1.2448240913017943,-inf,,,0.5994395393270224,0.002,350.3406354348993,0.002
38,1002.9487592894288,679,0.04994436583258255,6.666666666666667,0.0,0.0,0.9726203223506188,0.0,0.0,-0.8437079530956593,1.312645212565078,1.312645212565078,-inf,,,0.5121174625813352,0.002,80.68110653053286,0.002
39,769.3346423180423,1560,0.002501897343055033,2.0683753194219325,0.0,0.0,1.7187037828223204,0.0,0.0,-0.3881638794451656,1.0927151350682198,1.0927151350682198,-inf,,,0.1100258013008934,0.002,6.916397228866452,0.002
41,1101.3904212761192,864,0.01615972972162005,6.666666666666667,0.0,0.0,0.1342307081666418,0.0,0.0,-1.2630551734105575,1.2466205745506063,1.2466205745506063,-inf,,,0.6854412354380508,0.002,175.8798797333779,0.002
46,790.7083500818161,1127,0.019325660501854955,6.043338317143844,0.0,0.0,0.7377748803159636,0.0,0.0,-1.039022302647754,1.3721928590230728,1.3721928590230728,-inf,,,0.5936693520681824,0.002,174.26147715715254,0.002
51,230.6309269106121,624,0.01377690578701778,4.841216836872441,0.0,0.0,2.023786771473896,0.0,0.0,-0.822797211980439,1.107961402419369,1.107961402419369,-inf,,,0.4018655684778905,0.002,41.16149294716247,0.002
52,586.3408401024077,1343,0.010033838524474533,3.013101758278933,0.0,0.0,1.9086078009666425,0.0,0.0,-0.5650942369020586,1.1515785327340522,1.1515785327340522,-inf,,,0.2277971105602265,0.002,22.84205838041,0.002
64,1410.3520289929318,3506,0.006515003248317608,4.998722000972274,0.0,0.0,1.053141089898774,0.0,0.0,-1.0712489032757533,1.0882194658750375,1.0882194658750375,-inf,,,0.5871055959297368,0.002,508.47120040857,0.002
65,2190.749810985635,3827,0.008339898030715123,2.676141151164424,0.0,0.0,0.7981202577191895,0.0,0.0,-0.7199598964992557,1.0894532111766135,1.0894532111766135,-inf,,,0.3697158004113656,0.002,272.581281213805,0.002
66,3322.778687515884,3651,0.005255948778408776,3.7916821118143496,0.0,0.0,-0.0339151127414492,0.0,0.0,-1.3450507671808485,1.0165165518560106,1.0165165518560106,-inf,,,0.629514663829084,0.002,724.5195875182534,0.002
67,1626.1210079880034,3486,0.011465477026270873,6.666666666666667,0.0,0.0,-0.0121357405160008,0.0,0.0,-1.8685082733021816,1.1143879899860964,1.1143879899860964,-inf,,,0.5480309842806569,0.002,495.41965460423,0.002
68,421.2605089230132,977,0.0026976790547119495,2.7293918477641474,0.0,0.0,0.9954078936853304,0.0,0.0,-0.8371730162998752,1.0183419899274737,1.0183419899274737,-inf,,,0.384865066910048,0.002,65.66095246815253,0.002
70,418.7421087681327,1355,0.009552451489336136,2.839961963735877,0.0,0.0,2.4997465026305754,0.0,0.0,-0.5707948674330019,0.9980520191650069,0.9980520191650069,-inf,,,0.1588705979175184,0.002,11.692165688116134,0.002
72,376.54795459887714,787,0.011828358344073581,3.500714274228754,0.0,0.0,1.85311956478547,0.0,0.0,-0.6118921255184513,1.1203697141387656,1.1203697141387656,-inf,,,0.2985507648551105,0.002,27.90017290143639,0.002
