,inverse_T,mean_metaG
7,3.422470313705268,0.0469247466638556
11,3.43867788687589,0.07481299210447588
18,3.4125477947270397,0.03910474107663137
22,3.418736473915642,0.04748651017611105
23,3.4296656341352967,0.03665263734038902
25,3.422853089753269,0.0747392478050944
26,3.416082463667149,0.05233537273311139
30,3.393160958809383,0.04765368405544122
36,3.333741374032948,0.1299810046380998
38,3.328464273449114,0.07190577287155508
39,3.323832742349226,0.03983598455095674
41,3.3133988931158975,0.07224486404089732
46,3.311478300231623,0.029778275942011337
51,3.345860550309033,0.02882514843298866
52,3.3337319641416796,0.03079609137336686
64,3.3711956185074854,0.032831910108935186
65,3.3932041396168864,0.046588755495947785
66,3.4343871972148055,0.08761390376899335
67,3.464397789703779,0.03584573483143915
68,3.429304576618708,0.04133464332229814
70,3.3904909746713763,0.03104240219226516
72,3.3454537132025144,0.03626401171653552
76,3.3469068134057736,0.05837297925503092
78,3.401131802814411,0.03727972545215537
80,3.4468021593680276,0.027614575071245533
81,3.4910671116050103,0.0172074936863243
82,3.5564834422978984,0.07588036954412673
84,3.648804726789389,0.04093544677544762
85,3.657647091873802,0.049453261897903895
92,3.488095558089543,0.023111611373316042
98,3.3582158315213695,0.061030005683531396
100,3.3928782722087862,0.07802306770471207
102,3.38588228591441,0.1510790443219528
109,3.3412210984219812,0.02818110565624345
110,3.3745245912841333,0.07327956230756486
111,3.384997809791105,0.07731552873840782
122,3.325564062062365,0.09547003696015868
123,3.327853242124403,0.036507085068324695
124,3.322790710670537,0.10749342242332617
125,3.325043138283807,0.11033158274784399
128,3.3348736772486633,0.045332204131283915
131,3.3546999478030894,0.12774667842006723
132,3.3963796119709477,0.047070472315629754
135,3.466574334770286,0.03493260269735719
136,3.350644157507912,0.040807916250477645
137,3.3263507368173575,0.03840963053928431
138,3.3249448844747564,0.02974120515470982
142,3.3342631428620932,0.030507874224778575
143,3.3351823199685806,0.03125687382141208
144,3.364150776488979,0.03654486433372386
145,3.4415879680530383,0.068080284814641
146,3.3790745789494645,0.04340324574500202
147,3.38088801193083,0.03385597529518781
148,3.3716681857955804,0.03773460715010292
149,3.387678206116729,0.02702602092852295
150,3.409428783138188,0.03491912165563236
151,3.4099609652703133,0.028192039437412435
152,3.4566271643568345,0.03848762762559874
155,3.5076478745435566,0.06997756809784023
158,3.558597223805883,0.01827798586685737
168,3.5968112780569097,0.038508586126577496
173,3.6542640073068244,0.05210859812286806
175,3.6376750284775854,0.07104498989158882
178,3.63205517147361,0.03904007421065626
180,3.6513365333579966,0.02693374716536421
188,3.6829701105958867,0.1024454378067044
189,3.658447354974473,0.04891609664276161
191,3.6542245859961695,0.029070396253603047
193,3.6567987360879592,0.045758807728557296
194,3.671875336110606,0.03205574313528317
196,3.6376731309153287,0.038188137408530165
201,3.644229626464082,0.06265150036497266
205,3.6494561001614714,0.10563426206075983
206,3.611041443916412,0.04423050380835592
208,3.592489600212177,0.03602310384681688
209,3.631982149950413,0.06328619495242617
210,3.606761857435131,0.051634204897055086
